Ref ID,locus,Control,Treated,FPKM_Control,FPKM_U1,log2FC U1 Vs C,test_stat,p_value,q_value,Gene Symbol
NM_000057,chr15:90717326-90815462,NHHW161152,U1,0.470619,0.263072,-0.839,-2.948,0.002,0.002,BLM
NM_000059,chr13:32315479-32399672,NHHW161152,U1,0.253892,0.166695,-0.607,-2.795,0.001,0.002,BRCA2
NM_000062,chr11:57597553-57614853,NHHW161152,U1,173.028,67.2609,-1.363,-34.159,0.000,0.000,SERPING1
NM_000063,chr6:31897784-31945674,NHHW161152,U1,0.586381,1.27553,1.121,4.157,0.000,0.000,C2
NM_000064,chr19:6677834-6720682,NHHW161152,U1,179.634,15.5126,-3.534,-129.176,0.000,0.000,C3
NM_000068,chr19:13206442-13506460,NHHW161152,U1,5.26591,0.240812,-4.451,-25.575,0.000,0.000,CACNA1A
NM_000070,chr15:42359499-42412317,NHHW161152,U1,3.38147,5.35231,0.663,4.784,0.000,0.000,CAPN3
NM_000072,chr7:80602187-80679277,NHHW161152,U1,2.56744,1.94914,-0.397,-2.262,0.005,0.007,CD36
NM_000075,chr12:57745000-57752447,NHHW161152,U1,77.8775,39.8703,-0.966,-20.347,0.000,0.000,CDK4
NM_000076,chr11:2883217-2885765,NHHW161152,U1,3.9371,1.16042,-1.762,-8.722,0.000,0.000,CDKN1C
NM_000077,chr9:21967138-21994491,NHHW161152,U1,9.67443,65.6088,2.762,31.623,0.000,0.000,CDKN2A
NM_000080,chr17:4833339-4903074,NHHW161152,U1,0.737059,0.213057,-1.791,-4.571,0.000,0.000,CHRNE
NM_000081,chr1:235512822-235883708,NHHW161152,U1,3.63368,5.88594,0.696,10.731,0.000,0.000,LYST
NM_000082,chr5:60873831-60945078,NHHW161152,U1,2.25763,5.20355,1.205,6.737,0.000,0.000,ERCC8
NM_000086,chr16:28466652-28492302,NHHW161152,U1,24.8319,11.9167,-1.059,-15.660,0.000,0.000,CLN3
NM_000090,chr2:188974372-189012746,NHHW161152,U1,521.691,1559.81,1.580,47.085,0.000,0.000,COL3A1
NM_000093,chr9:134641804-134872618,NHHW161152,U1,98.6267,122.033,0.307,10.076,0.000,0.000,COL5A1
NM_000095,chr19:18782772-18791305,NHHW161152,U1,49.678,17.3503,-1.518,-35.224,0.000,0.000,COMP
NM_000097,chr3:98579445-98593611,NHHW161152,U1,9.72244,14.509,0.578,9.488,0.000,0.000,CPOX
NM_000098,chr1:53196428-53220639,NHHW161152,U1,3.89021,5.69403,0.550,5.739,0.000,0.000,CPT2
NM_000099,chr20:23627896-23638048,NHHW161152,U1,649.156,348.48,-0.897,-23.485,0.000,0.000,CST3
NM_000100,chr21:43773664-43776375,NHHW161152,U1,142.547,208.022,0.545,17.967,0.000,0.000,CSTB
NM_000101,chr16:88643288-88651084,NHHW161152,U1,958.822,326.205,-1.555,-71.112,0.000,0.000,CYBA
NM_000103,chr15:51208056-51338598,NHHW161152,U1,0.27011,3.1077,3.524,15.190,0.000,0.000,CYP19A1
NM_000104,chr2:38067602-38076181,NHHW161152,U1,27.294,6.88213,-1.988,-44.960,0.000,0.000,CYP1B1
NM_000106,chr22:42126498-42130881,NHHW161152,U1,0.447294,0.0810437,-2.464,-2.628,0.020,0.025,CYP2D6
NM_000107,chr11:47214941-47239218,NHHW161152,U1,33.5169,21.9364,-0.612,-10.212,0.000,0.000,DDB2
NM_000108,chr7:107891106-107921198,NHHW161152,U1,14.7617,26.1998,0.828,15.748,0.000,0.000,DLD
NM_000110,chr1:97077743-97921059,NHHW161152,U1,8.11716,20.4627,1.334,22.908,0.000,0.000,DPYD
NM_000113,chr9:129812941-129824162,NHHW161152,U1,34.5149,28.3483,-0.284,-6.665,0.000,0.000,TOR1A
NM_000115,chr13:77818936-77975529,NHHW161152,U1,0.339021,0.155515,-1.124,-2.828,0.002,0.002,EDNRB
NM_000116,chrX:154398064-154421724,NHHW161152,U1,16.9204,6.29957,-1.425,-16.423,0.000,0.000,TAZ
NM_000118,chr9:127815011-127854773,NHHW161152,U1,145.541,70.2636,-1.051,-27.774,0.000,0.000,ENG
NM_000120,chr1:225810073-225882720,NHHW161152,U1,74.9286,56.4927,-0.407,-8.843,0.000,0.000,EPHX1
NM_000121,chr19:11377204-11384342,NHHW161152,U1,8.56711,1.90512,-2.169,-17.103,0.000,0.000,EPOR
NM_000122,chr2:127257289-127294176,NHHW161152,U1,14.2422,13.1488,-0.115,-1.783,0.016,0.020,ERCC3
NM_000123,chr13:102784280-102876001,NHHW161152,U1,20.4081,32.958,0.691,16.754,0.000,0.000,ERCC5
NM_000124,chr10:49454479-49539538,NHHW161152,U1,2.89564,7.09844,1.294,14.849,0.000,0.000,ERCC6
NM_000125,chr6:151690495-152637399,NHHW161152,U1,0.131218,0.499484,1.928,5.896,0.000,0.000,ESR1
NM_000126,chr15:76216287-76311469,NHHW161152,U1,84.4169,98.2845,0.219,5.082,0.000,0.000,ETFA
NM_000127,chr8:117799364-118111819,NHHW161152,U1,109.679,19.754,-2.473,-77.937,0.000,0.000,EXT1
NM_000131,chr13:113105787-113120681,NHHW161152,U1,0.333463,0.0555808,-2.585,-3.205,0.004,0.005,F7
NM_000135,chr16:89707132-89816657,NHHW161152,U1,4.15588,1.3003,-1.676,-11.074,0.000,0.000,FANCA
NM_000137,chr15:80152890-80186582,NHHW161152,U1,15.2943,33.2908,1.122,19.552,0.000,0.000,FAH
NM_000138,chr15:48408305-48645788,NHHW161152,U1,41.0277,178.725,2.123,179.677,0.000,0.000,FBN1
NM_000140,chr18:57544840-57586737,NHHW161152,U1,2.9904,5.53708,0.889,12.775,0.000,0.000,FECH
NM_000142,chr4:1793311-1808872,NHHW161152,U1,0.386039,0.561265,0.540,2.203,0.011,0.014,FGFR3
NM_000143,chr1:241497556-241519785,NHHW161152,U1,20.5927,38.0271,0.885,17.885,0.000,0.000,FH
NM_000146,chr19:48965308-48966879,NHHW161152,U1,16455,5041.62,-1.707,-357.733,0.000,0.000,FTL
NM_000147,chr1:23845080-23868369,NHHW161152,U1,20.6146,2.23681,-3.204,-27.059,0.000,0.000,FUCA1
NM_000152,chr17:80101525-80119882,NHHW161152,U1,48.3985,31.423,-0.623,-16.318,0.000,0.000,GAA
NM_000153,chr14:87933013-87993665,NHHW161152,U1,5.12696,5.90473,0.204,2.542,0.001,0.002,GALC
NM_000154,chr17:75757936-75765199,NHHW161152,U1,28.655,15.9866,-0.842,-12.304,0.000,0.000,GALK1
NM_000155,chr9:34646588-34650598,NHHW161152,U1,16.9053,11.5535,-0.549,-6.189,0.000,0.000,GALT
NM_000156,chr19:1397025-1401570,NHHW161152,U1,110.847,21.7305,-2.351,-35.936,0.000,0.000,GAMT
NM_000157,chr1:155234447-155244862,NHHW161152,U1,59.8047,23.531,-1.346,-29.422,0.000,0.000,GBA
NM_000158,chr3:81489698-81761799,NHHW161152,U1,64.6674,88.611,0.454,20.193,0.000,0.000,GBE1
NM_000159,chr19:12891128-12919272,NHHW161152,U1,8.15985,10.6857,0.389,4.391,0.000,0.000,GCDH
NM_000161,chr14:54842005-54902824,NHHW161152,U1,0.954376,0.20611,-2.211,-5.517,0.000,0.000,GCH1
NM_000162,chr7:44144270-44189423,NHHW161152,U1,0.831991,0.27509,-1.597,-4.423,0.000,0.000,GCK
NM_000163,chr5:42423774-42721878,NHHW161152,U1,1.23392,3.0427,1.302,10.272,0.000,0.000,GHR
NM_000165,chr6:121435576-121449744,NHHW161152,U1,57.5702,61.5992,0.098,3.927,0.000,0.000,GJA1
NM_000167,chrX:30653358-30731460,NHHW161152,U1,1.131,2.3054,1.027,7.860,0.000,0.000,GK
NM_000168,chr7:41960949-42237019,NHHW161152,U1,2.76042,5.96847,1.112,18.771,0.000,0.000,GLI3
NM_000169,chrX:101390889-101414140,NHHW161152,U1,19.7588,15.6434,-0.337,-4.227,0.000,0.000,GLA
NM_000170,chr9:6532463-6645692,NHHW161152,U1,0.166584,0.868951,2.383,7.302,0.000,0.000,GLDC
NM_000173,chr17:4932274-4935030,NHHW161152,U1,0.206661,0.485638,1.233,3.072,0.004,0.005,GP1BA
NM_000175,chr19:34364739-34402413,NHHW161152,U1,85.4608,44.1108,-0.954,-24.823,0.000,0.000,GPI
NM_000177,chr9:121268101-121332842,NHHW161152,U1,248.569,299.476,0.269,8.774,0.000,0.000,GSN
NM_000178,chr20:34928432-35092815,NHHW161152,U1,31.606,39.4779,0.321,5.949,0.000,0.000,GSS
NM_000179,chr2:47783081-47905793,NHHW161152,U1,9.41147,7.57275,-0.314,-5.046,0.000,0.000,MSH6
NM_000182,chr2:26190634-26244726,NHHW161152,U1,64.7156,115.147,0.831,38.512,0.000,0.000,HADHA
NM_000183,chr2:26244747-26290465,NHHW161152,U1,49.2145,94.4564,0.941,21.449,0.000,0.000,HADHB
NM_000186,chr1:196651877-196747504,NHHW161152,U1,11.3339,19.2046,0.761,12.115,0.000,0.000,CFH
NM_000188,chr10:69269999-69401881,NHHW161152,U1,46.6976,61.8084,0.404,10.183,0.000,0.000,HK1
NM_000189,chr2:74832654-74893354,NHHW161152,U1,12.7019,1.66689,-2.930,-40.477,0.000,0.000,HK2
NM_000190,chr11:119084876-119093549,NHHW161152,U1,10.3624,14.7743,0.512,5.717,0.000,0.000,HMBS
NM_000192,chr12:114353929-114412832,NHHW161152,U1,2.7877,1.35897,-1.037,-7.844,0.000,0.000,TBX5
NM_000194,chrX:134460144-134500668,NHHW161152,U1,14.4917,22.3759,0.627,8.653,0.000,0.000,HPRT1
NM_000195,chr10:98416197-98453805,NHHW161152,U1,38.6689,27.5162,-0.491,-10.989,0.000,0.000,HPS1
NM_000199,chr17:80169991-80220400,NHHW161152,U1,44.2946,23.4825,-0.916,-18.404,0.000,0.000,SGSH
NM_000201,chr19:10270840-10286615,NHHW161152,U1,18.1335,0.854623,-4.407,-30.032,0.000,0.000,ICAM1
NM_000203,chr4:979074-1004557,NHHW161152,U1,34.011,5.89979,-2.527,-31.367,0.000,0.000,IDUA
NM_000207,chr11:2129111-2161209,NHHW161152,U1,0.613053,0.363775,-0.753,-1.391,0.018,0.023,INS
NM_000208,chr19:7112254-7294302,NHHW161152,U1,3.18655,1.71067,-0.897,-11.750,0.000,0.000,INSR
NM_000211,chr21:44885953-44929680,NHHW161152,U1,0.0352341,0.468812,3.734,3.839,0.011,0.014,ITGB2
NM_000212,chr17:47253841-47323901,NHHW161152,U1,7.07152,0.550295,-3.684,-23.997,0.000,0.000,ITGB3
NM_000214,chr20:10637683-10674046,NHHW161152,U1,0.385244,3.81204,3.307,19.848,0.000,0.000,JAG1
NM_000215,chr19:17824783-17848032,NHHW161152,U1,0.816993,1.3817,0.758,5.373,0.000,0.000,JAK3
NM_000222,chr4:54657927-54740715,NHHW161152,U1,2.16076,0.276435,-2.967,-13.801,0.000,0.000,KIT
NM_000224,chr12:52897186-52952901,NHHW161152,U1,4.84102,1.04687,-2.209,-9.522,0.000,0.000,KRT18
NM_000227,chr18:23689442-23955065,NHHW161152,U1,1.85058,1.08553,-0.770,-5.664,0.000,0.000,LAMA3
NM_000228,chr1:209614872-209652475,NHHW161152,U1,5.66978,3.98985,-0.507,-2.770,0.001,0.001,LAMB3
NM_000229,chr16:67939883-67968694,NHHW161152,U1,60.7439,36.3062,-0.743,-19.678,0.000,0.000,LCAT
NM_000230,chr7:128241277-128257629,NHHW161152,U1,9.9767,0.785289,-3.667,-24.346,0.000,0.000,LEP
NM_000232,chr4:52020694-52038319,NHHW161152,U1,30.817,26.6544,-0.209,-6.942,0.000,0.000,SGCB
NM_000234,chr19:48115444-48170603,NHHW161152,U1,9.95679,5.36218,-0.893,-12.289,0.000,0.000,LIG1
NM_000235,chr10:89213568-89252039,NHHW161152,U1,21.3275,114.508,2.425,52.234,0.000,0.000,LIPA
NM_000236,chr15:58431975-58568874,NHHW161152,U1,0.163002,0.722827,2.149,3.709,0.003,0.004,LIPC
NM_000240,chrX:43654906-43746824,NHHW161152,U1,1.77181,31.4859,4.151,48.779,0.000,0.000,MAOA
NM_000244,chr11:64803513-64811294,NHHW161152,U1,20.742,13.6694,-0.602,-11.324,0.000,0.000,MEN1
NM_000245,chr7:116672358-116798386,NHHW161152,U1,2.60945,2.14578,-0.282,-3.038,0.000,0.000,MET
NM_000248,chr3:69739434-69968337,NHHW161152,U1,0.722272,2.65857,1.880,10.802,0.000,0.000,MITF
NM_000251,chr2:47403066-47483228,NHHW161152,U1,4.14967,5.67879,0.453,4.886,0.000,0.000,MSH2
NM_000252,chrX:150568596-150673143,NHHW161152,U1,2.05827,2.49664,0.279,2.291,0.009,0.011,MTM1
NM_000254,chr1:236795280-236903981,NHHW161152,U1,3.50536,5.11944,0.546,9.384,0.000,0.000,MTR
NM_000255,chr6:49430359-49463328,NHHW161152,U1,6.58143,15.5489,1.240,22.116,0.000,0.000,MUT
NM_000259,chr15:52307283-52529050,NHHW161152,U1,3.53355,5.49395,0.637,12.411,0.000,0.000,MYO5A
NM_000262,chr22:42058333-42070842,NHHW161152,U1,10.1275,15.7741,0.639,12.913,0.000,0.000,NAGA
NM_000263,chr17:42535932-42544448,NHHW161152,U1,59.529,13.2423,-2.168,-49.319,0.000,0.000,NAGLU
NM_000264,chr9:95442981-95516965,NHHW161152,U1,0.33649,1.10672,1.718,10.008,0.000,0.000,PTCH1
NM_000266,chrX:43948775-43973675,NHHW161152,U1,0.0716276,2.21659,4.952,7.516,0.008,0.011,NDP
NM_000267,chr17:31094926-31377677,NHHW161152,U1,2.59349,4.36087,0.750,12.582,0.000,0.000,NF1
NM_000268,chr22:29603555-29698600,NHHW161152,U1,21.4389,11.7999,-0.861,-20.875,0.000,0.000,NF2
NM_000269,chr17:51153535-51171744,NHHW161152,U1,1377.79,1171.55,-0.234,-8.402,0.000,0.000,NME1
NM_000270,chr14:20469378-20478006,NHHW161152,U1,8.54344,7.37505,-0.212,-2.698,0.002,0.003,PNP
NM_000271,chr18:23503469-23586617,NHHW161152,U1,16.4063,5.23117,-1.649,-25.979,0.000,0.000,NPC1
NM_000274,chr10:124397302-124418976,NHHW161152,U1,75.8152,110.175,0.539,13.280,0.000,0.000,OAT
NM_000276,chrX:129540254-129592560,NHHW161152,U1,5.65693,7.91612,0.485,7.648,0.000,0.000,OCRL
NM_000280,chr11:31784791-31887041,NHHW161152,U1,0.308113,0.129064,-1.255,-2.371,0.002,0.002,PAX6
NM_000281,chr10:70882280-70888786,NHHW161152,U1,41.7609,59.3351,0.507,8.043,0.000,0.000,PCBD1
NM_000282,chr13:100089014-100588792,NHHW161152,U1,3.55973,6.48528,0.865,8.271,0.000,0.000,PCCA
NM_000284,chrX:19343892-19515261,NHHW161152,U1,16.673,22.1102,0.407,7.654,0.000,0.000,PDHA1
NM_000285,chr19:33386948-33521893,NHHW161152,U1,53.7493,34.2066,-0.652,-12.911,0.000,0.000,PEPD
NM_000286,chr17:35574794-35578637,NHHW161152,U1,2.59832,4.30815,0.729,6.275,0.000,0.000,PEX12
NM_000288,chr6:136822563-136913934,NHHW161152,U1,4.8706,3.06209,-0.670,-4.406,0.000,0.000,PEX7
NM_000289,chr12:48042897-48146404,NHHW161152,U1,26.5801,34.4658,0.375,7.866,0.000,0.000,PFKM
NM_000291,chrX:78104168-78126827,NHHW161152,U1,274.621,161.847,-0.763,-48.991,0.000,0.000,PGK1
NM_000292,chrX:18890295-18984362,NHHW161152,U1,1.82266,4.19617,1.203,12.475,0.000,0.000,PHKA2
NM_000293,chr16:47461298-47701523,NHHW161152,U1,7.05719,10.5898,0.586,10.591,0.000,0.000,PHKB
NM_000294,chr16:30748298-30776307,NHHW161152,U1,6.98004,6.28619,-0.151,-1.753,0.033,0.040,PHKG2
NM_000298,chr1:155277426-155301434,NHHW161152,U1,0.3154,0.0467238,-2.755,-3.596,0.006,0.008,PKLR
NM_000302,chr1:11934666-11975542,NHHW161152,U1,277.094,191.693,-0.532,-14.988,0.000,0.000,PLOD1
NM_000303,chr16:8797812-8849337,NHHW161152,U1,20.8068,14.5203,-0.519,-9.527,0.000,0.000,PMM2
NM_000304,chr17:15229776-15265357,NHHW161152,U1,82.473,92.5999,0.167,4.360,0.000,0.000,PMP22
NM_000305,chr7:95404861-95435072,NHHW161152,U1,42.3605,39.2878,-0.109,-2.140,0.003,0.004,PON2
NM_000308,chr20:45888471-45912364,NHHW161152,U1,211.407,96.1078,-1.137,-31.515,0.000,0.000,CTSA
NM_000310,chr1:40072709-40097470,NHHW161152,U1,16.4931,37.3515,1.179,20.983,0.000,0.000,PPT1
NM_000313,chr3:93873036-93974090,NHHW161152,U1,8.79931,19.7947,1.170,19.266,0.000,0.000,PROS1
NM_000316,chr3:46877745-46903799,NHHW161152,U1,0.306718,3.26202,3.411,9.918,0.000,0.000,PTH1R
NM_000317,chr11:112226364-112233972,NHHW161152,U1,35.3858,18.5566,-0.931,-11.522,0.000,0.000,PTS
NM_000318,chr8:76980257-77001044,NHHW161152,U1,7.17418,6.55539,-0.130,-1.875,0.015,0.018,PEX2
NM_000319,chr12:7189162-7218573,NHHW161152,U1,15.09,13.2441,-0.188,-3.418,0.000,0.000,PEX5
NM_000320,chr4:17486392-17512234,NHHW161152,U1,30.3141,25.4007,-0.255,-4.172,0.000,0.000,QDPR
NM_000322,chr6:42696594-42722620,NHHW161152,U1,0.787962,0.519586,-0.601,-2.413,0.007,0.010,PRPH2
NM_000325,chr4:110617423-110642123,NHHW161152,U1,1.22593,0.605459,-1.018,-3.814,0.000,0.000,PITX2
NM_000327,chr11:62602218-62615121,NHHW161152,U1,2.47042,4.31706,0.805,5.431,0.000,0.000,ROM1
NM_000328,chrX:38269169-38327535,NHHW161152,U1,1.4039,1.10089,-0.351,-1.987,0.018,0.022,RPGR
NM_000331,chr11:18266224-18269976,NHHW161152,U1,34.1705,0.483553,-6.143,-9.144,0.002,0.002,SAA1
NM_000332,chr6:16299111-16766883,NHHW161152,U1,2.68654,2.18885,-0.296,-4.200,0.000,0.000,ATXN1
NM_000333,chr3:63864556-64003460,NHHW161152,U1,2.43318,3.02026,0.312,3.857,0.000,0.000,ATXN7
NM_000345,chr4:89724098-89841991,NHHW161152,U1,2.9305,0.327991,-3.159,-12.146,0.000,0.000,SNCA
NM_000346,chr17:72121019-72126419,NHHW161152,U1,1.19402,0.184566,-2.694,-8.913,0.000,0.000,SOX9
NM_000351,chrX:7048919-7354643,NHHW161152,U1,6.69255,25.6807,1.940,22.752,0.000,0.000,STS
NM_000355,chr22:30607082-30627060,NHHW161152,U1,5.17496,21.7724,2.073,23.136,0.000,0.000,TCN2
NM_000356,chr5:150357638-150400308,NHHW161152,U1,12.6272,7.04539,-0.842,-15.638,0.000,0.000,TCOF1
NM_000358,chr5:136028894-136063818,NHHW161152,U1,1982.35,102.922,-4.268,-290.780,0.000,0.000,TGFBI
NM_000359,chr14:24249113-24263210,NHHW161152,U1,0.111422,0.686865,2.624,5.462,0.000,0.000,TGM1
NM_000361,chr20:23045632-23049664,NHHW161152,U1,2.50724,3.86064,0.623,6.475,0.000,0.000,THBD
NM_000362,chr22:32512552-33058391,NHHW161152,U1,131.164,81.4059,-0.688,-19.084,0.000,0.000,TIMP3
NM_000366,chr15:63042638-63071914,NHHW161152,U1,779.733,74.9523,-3.379,-101.211,0.000,0.000,TPM1
NM_000367,chr6:18128313-18155165,NHHW161152,U1,4.34596,9.02826,1.055,13.641,0.000,0.000,TPMT
NM_000368,chr9:132891347-132944633,NHHW161152,U1,5.64583,7.41869,0.394,7.843,0.000,0.000,TSC1
NM_000373,chr3:124730365-124749272,NHHW161152,U1,2.53121,3.18897,0.333,4.027,0.000,0.000,UMPS
NM_000374,chr1:45012132-45015669,NHHW161152,U1,80.2719,75.715,-0.084,-1.821,0.004,0.005,UROD
NM_000375,chr10:125784980-125823268,NHHW161152,U1,41.1174,35.6456,-0.206,-3.528,0.000,0.000,UROS
NM_000376,chr12:47841536-47905031,NHHW161152,U1,29.6627,11.2907,-1.394,-29.649,0.000,0.000,VDR
NM_000380,chr9:97674908-97697409,NHHW161152,U1,6.35653,7.78862,0.293,2.519,0.002,0.002,XPA
NM_000381,chrX:10445309-10833690,NHHW161152,U1,5.26874,3.98342,-0.403,-5.654,0.000,0.000,MID1
NM_000382,chr17:19648750-19677595,NHHW161152,U1,13.7076,19.9709,0.543,10.328,0.000,0.000,ALDH3A2
NM_000386,chr17:30248194-30292166,NHHW161152,U1,7.03782,11.5835,0.719,9.865,0.000,0.000,BLMH
NM_000387,chr3:48856922-48898993,NHHW161152,U1,14.627,10.518,-0.476,-6.530,0.000,0.000,SLC25A20
NM_000389,chr6:36676459-36687339,NHHW161152,U1,1010.43,304.485,-1.731,-50.686,0.000,0.000,CDKN1A
NM_000390,chrX:85861179-86047565,NHHW161152,U1,2.90478,4.69043,0.691,8.172,0.000,0.000,CHM
NM_000391,chr11:6612765-6619461,NHHW161152,U1,78.7024,42.8996,-0.875,-36.272,0.000,0.000,TPP1
NM_000392,chr10:99782597-99852192,NHHW161152,U1,0.0599337,0.276944,2.208,4.792,0.000,0.000,ABCC2
NM_000393,chr2:189031914-189179879,NHHW161152,U1,78.0817,147.942,0.922,26.040,0.000,0.000,COL5A2
NM_000396,chr1:150796207-150808441,NHHW161152,U1,1229.29,364.327,-1.755,-158.677,0.000,0.000,CTSK
NM_000398,chr22:42617839-42649399,NHHW161152,U1,276.694,185.754,-0.575,-16.134,0.000,0.000,CYB5R3
NM_000399,chr10:62811995-62819167,NHHW161152,U1,2.82518,0.0768881,-5.199,-7.670,0.000,0.000,EGR2
NM_000400,chr19:45340739-45370587,NHHW161152,U1,22.8812,12.2232,-0.905,-15.061,0.000,0.000,ERCC2
NM_000401,chr11:44095548-44245430,NHHW161152,U1,59.3776,49.2694,-0.269,-6.643,0.000,0.000,EXT2
NM_000402,chrX:154531389-154565046,NHHW161152,U1,76.8815,52.4648,-0.551,-12.978,0.000,0.000,G6PD
NM_000403,chr1:23795598-23800804,NHHW161152,U1,13.0966,6.05487,-1.113,-10.723,0.000,0.000,GALE
NM_000404,chr3:32996607-33097230,NHHW161152,U1,44.7239,38.4427,-0.218,-4.924,0.000,0.000,GLB1
NM_000405,chr5:151253051-151270392,NHHW161152,U1,15.3153,21.123,0.464,8.733,0.000,0.000,GM2A
NM_000407,chr22:19714463-19724774,NHHW161152,U1,23.9901,11.088,-1.113,-15.997,0.000,0.000,GP1BB
NM_000408,chr2:156435452-156586403,NHHW161152,U1,3.07956,8.11124,1.397,19.170,0.000,0.000,GPD2
NM_000411,chr21:36750887-36990245,NHHW161152,U1,2.68359,4.86993,0.860,10.945,0.000,0.000,HLCS
NM_000413,chr17:42551965-42555214,NHHW161152,U1,2.88133,1.33709,-1.108,-6.450,0.000,0.000,HSD17B1
NM_000414,chr5:119452442-119542335,NHHW161152,U1,27.2586,55.4093,1.023,21.719,0.000,0.000,HSD17B4
NM_000416,chr6:137197483-137219430,NHHW161152,U1,22.0188,19.7009,-0.160,-3.088,0.000,0.000,IFNGR1
NM_000421,chr17:40818116-40836274,NHHW161152,U1,28.6898,1.53104,-4.228,-29.398,0.000,0.000,KRT10
NM_000422,chr17:41619439-41624630,NHHW161152,U1,2.02494,0.184851,-3.453,-7.033,0.000,0.000,KRT17
NM_000425,chrX:153861513-153888973,NHHW161152,U1,17.0868,0.136064,-6.972,-21.488,0.000,0.000,L1CAM
NM_000426,chr6:128883140-129516565,NHHW161152,U1,4.96422,23.3357,2.233,45.516,0.000,0.000,LAMA2
NM_000428,chr14:74498182-74612331,NHHW161152,U1,95.9429,59.2744,-0.695,-52.481,0.000,0.000,LTBP2
NM_000430,chr17:2593628-2685615,NHHW161152,U1,21.7857,26.0468,0.258,8.962,0.000,0.000,PAFAH1B1
NM_000431,chr12:109573694-109597270,NHHW161152,U1,8.4223,9.30281,0.143,1.644,0.043,0.051,MVK
NM_000434,chr6:31859051-31862932,NHHW161152,U1,38.3242,24.4061,-0.651,-14.814,0.000,0.000,NEU1
NM_000435,chr19:15159632-15200981,NHHW161152,U1,6.31787,9.35113,0.566,10.525,0.000,0.000,NOTCH3
NM_000436,chr5:41730064-41872236,NHHW161152,U1,3.06714,24.5503,3.001,35.949,0.000,0.000,OXCT1
